"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 13 14:50:34 GMT 2022","Thu Oct 13 14:51:06 GMT 2022","32122","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:43:09 GMT 2022","Thu Oct 13 14:43:47 GMT 2022","38349","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:13 GMT 2022","Thu Oct 13 14:41:55 GMT 2022","41811","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","starts on patch","starts on patch",""
"failed","Thu Oct 13 14:48:14 GMT 2022","Thu Oct 13 14:48:48 GMT 2022","34520","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""-10"",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""-10"",""known_issues"":""10""}",""
"passed","Thu Oct 13 14:41:15 GMT 2022","Thu Oct 13 14:41:47 GMT 2022","31649","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Nothing to clean","Nothing to clean",""
"failed","Thu Oct 13 14:51:36 GMT 2022","Thu Oct 13 14:52:13 GMT 2022","36367","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""-10"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""-10"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:50:21 GMT 2022","Thu Oct 13 14:50:54 GMT 2022","33339","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""false"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""false"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:46:58 GMT 2022","Thu Oct 13 14:47:29 GMT 2022","31340","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""true"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""true"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:43:45 GMT 2022","Thu Oct 13 14:44:19 GMT 2022","33604","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""false"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""false"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:44:28 GMT 2022","Thu Oct 13 14:44:59 GMT 2022","30533","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""-1"",""known_issues"":""7""}","invalid room size values {""x"":""5"",""y"":""-1"",""known_issues"":""7""}",""
